index,text
1,Hello Amazon - my package never arrived :( https://www.amazon.com/gp/css/order-history?ref_=nav_orders_first PLEASE FIX ASAP ⏰! @AmazonHelp <test/>
2,Hello! 😊 This is an example text with emojis! 👍
3,<p>This is a <b>sample</b> text with <a href='https://www.example.com'>HTML</a> tags.</p>
4,The quick brown fox jumps over the lazy dog.
5,Visit our website at https://www.example.com for more information
6,I'm feeling 😄 today. Don't worry 😉.
7,This text contains special characters #$%&@*!
8,LOL BRB and OMG are common chat abbreviations.
9,😂😍👏 Just saw the funniest movie ever! 😂😍👏
10,<a href='https://www.example.com'>Click here</a> for more info
11,I found a great recipe at https://www.recipes.com! 😋 It's so delicious! #cooking
12,M8 imho this NLP thing is kinda 🔥 !
13,Hate Is A Place Where A Man Who Can’t Stand Sadness Goes. 😞
14,This Sword Is The Proof That I Have Lived. 🗿
